Location,Property,"Area Serviced (choose all that apply)","Acres Salted","Blade Used","Submission Date","Submitted By","Assigned To"
"Sec 19 - Elk Grove Village","1201 Kirk","West Side       ,East Side       ","1/16 of lot ",no,"01/29/2016 01:04 AM","SnowPlus Staff","Ernie Vargas"
"Sec 17 - Lombard / Oakbrook","The Crossings","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/29/2016 01:00 AM","SnowPlus Staff","Jim Rose"
"Sec 19 - Elk Grove Village","2781 Katherine","North  Side       ,South Side      ","1/16 of lot ",no,"01/29/2016 12:58 AM","SnowPlus Staff","Ernie Vargas"
"Sec 30 - Lisle / Warrenville","535 Diehl","South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/29/2016 12:57 AM","SnowPlus Staff","Scott Erickson"
"Sec 19 - Elk Grove Village","1380-1410 Kirk","North  Side       ,South Side      ","1/8 of lot",no,"01/29/2016 12:55 AM","SnowPlus Staff","Ernie Vargas"
"Sec 02 - Alsip","Evergreen Market Place - Retail","West Side       ,East Side       ","1/16 of lot ",no,"01/29/2016 12:52 AM","SnowPlus Staff",
"Sec 01 - Addison","775 Belden","North  Side       ,East Side       ","1/2 of lot",no,"01/29/2016 12:52 AM","SnowPlus Staff","Wally Sternberg"
"Sec 19 - Elk Grove Village","1300 Mark","West Side       ","1/16 of lot ",no,"01/29/2016 12:50 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1400 Mark","West Side       ","1/8 of lot",no,"01/29/2016 12:48 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1380-1410 Kirk","North  Side       ,West Side       ,East Side       ","1/4 of lot",no,"01/29/2016 12:46 AM","SnowPlus Staff","Ernie Vargas"
"Sec 28 - Naperville East","Canterra Commons","North  Side       ,South Side      ","1/16 of lot ",no,"01/29/2016 12:44 AM","SnowPlus Staff","Scott Erickson"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing","North  Side       ,South Side      ","whole lot",no,"01/29/2016 12:41 AM","SnowPlus Staff","Wally Sternberg"
"Sec 08 - Berkeley","Melrose Park Center","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/29/2016 12:39 AM","SnowPlus Staff","Jim Jungles"
"Sec 19 - Elk Grove Village","1201-1251 Mark","North  Side       ,West Side       ","1/8 of lot",no,"01/29/2016 12:38 AM","SnowPlus Staff","Ernie Vargas"
"Sec 35 - Woodridge Industrial",Xcell,"West Side       ","1/16 of lot ",no,"01/29/2016 12:38 AM","SnowPlus Staff","Doug Hendon"
"Sec 35 - Woodridge Industrial","10220 Werch","North  Side       ","1/16 of lot ",no,"01/29/2016 12:37 AM","SnowPlus Staff","Doug Hendon"
"Sec 35 - Woodridge Industrial","Graham Packaging","South Side      ,West Side       ","1/16 of lot ",no,"01/29/2016 12:37 AM","SnowPlus Staff","Doug Hendon"
"Sec 19 - Elk Grove Village","2521 Lively","South Side      ","1/16 of lot ",no,"01/29/2016 12:36 AM","SnowPlus Staff","Ernie Vargas"
"Sec 35 - Woodridge Industrial","2500 Internationale","South Side      ,West Side       ","1/16 of lot ",no,"01/29/2016 12:36 AM","SnowPlus Staff","Doug Hendon"
"Sec 35 - Woodridge Industrial","2401 Internationale","West Side       ","1/16 of lot ",no,"01/29/2016 12:36 AM","SnowPlus Staff","Doug Hendon"
"Sec 07 - Bensenville","1010 Foster",,"1/16 of lot ",no,"01/29/2016 12:35 AM","SnowPlus Staff","Ernie Vargas"
"Sec 27 - Joliet","1695 Crossroads","North  Side       ,West Side       ","1/16 of lot ",no,"01/29/2016 12:34 AM","SnowPlus Staff","Bob Inabnit"
"Sec 27 - Joliet","3311 & 3325 Corporate","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/29/2016 12:34 AM","SnowPlus Staff","Bob Inabnit"
"Sec 27 - Joliet","4001 Rock Creek","East Side       ","1/16 of lot ",no,"01/29/2016 12:33 AM","SnowPlus Staff","Bob Inabnit"
"Sec 20 - Elk Grove Village North","951 Fargo","North  Side       ,South Side      ,East Side       ","1/8 of lot",no,"01/29/2016 12:30 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","626-630 Thomas",,"1/16 of lot ",no,"01/29/2016 12:26 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1501 Pratt","East Side       ","1/16 of lot ",no,"01/29/2016 12:22 AM","SnowPlus Staff","Ernie Vargas"
"Sec 29 - Naperville West","International Paper","South Side      ,West Side       ","1/16 of lot ",no,"01/29/2016 12:20 AM","SnowPlus Staff","Scott Erickson"
"Sec 34 - Woodridge Retail","Darien Towne Center","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/29/2016 12:18 AM","SnowPlus Staff","Dan Castro"
"Sec 34 - Woodridge Retail","Centerpointe Retail Centre","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/29/2016 12:17 AM","SnowPlus Staff","Dan Castro"
"Sec 19 - Elk Grove Village","1601 Pratt","South Side      ,West Side       ,East Side       ","1/8 of lot",no,"01/29/2016 12:17 AM","SnowPlus Staff","Ernie Vargas"
"Sec 02 - Alsip","11740  South Austin - Toyota","North  Side       ","1/16 of lot ",no,"01/29/2016 12:15 AM","SnowPlus Staff",
"Sec 07 - Bensenville","560-590 Supreme",,"1/16 of lot ",no,"01/29/2016 12:14 AM","SnowPlus Staff","Ernie Vargas"
"Sec 24 - Elmhurst","949 - 853 Larch","South Side      ,West Side       ","1/16 of lot ",no,"01/29/2016 12:14 AM","SnowPlus Staff","Jim Jungles"
"Sec 29 - Naperville West","International Paper","South Side      ,East Side       ","1/16 of lot ",no,"01/29/2016 12:12 AM","SnowPlus Staff","Scott Erickson"
"Sec 17 - Lombard / Oakbrook","601 Oakmont","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/29/2016 12:11 AM","SnowPlus Staff","Greg Skonie"
"Sec 26 - Itasca","690 Hilltop","South Side      ,West Side       ,East Side       ","1/2 of lot",no,"01/29/2016 12:11 AM","SnowPlus Staff","Don Down"
"Sec 07 - Bensenville","600-608 & 610-620 Supreme ( 2 bdgs)",,"1/16 of lot ",no,"01/29/2016 12:11 AM","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","951 Fargo","North  Side       ,South Side      ,East Side       ","1/8 of lot",no,"01/29/2016 12:10 AM","SnowPlus Staff","Ernie Vargas"
"Sec 24 - Elmhurst","777 Church","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/29/2016 12:08 AM","SnowPlus Staff","Jim Jungles"
"Sec 07 - Bensenville","630-650 Supreme",,"1/8 of lot",no,"01/29/2016 12:06 AM","SnowPlus Staff","Ernie Vargas"
"Sec 02 - Alsip","11800 S Austin - Komatsu Forklift","North  Side       ,East Side       ","1/16 of lot ",no,"01/29/2016 12:06 AM","SnowPlus Staff",
"Sec 26 - Itasca","909 Irving Park","West Side       ,East Side       ","1/8 of lot",no,"01/29/2016 12:04 AM","SnowPlus Staff","Don Down"
"Sec 20 - Elk Grove Village North","1500 Higgins Rd","North  Side       ,South Side      ,West Side       ","1/16 of lot ",no,"01/29/2016 12:02 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","971-991 Supreme",,"1/4 of lot",no,"01/29/2016 12:00 AM","SnowPlus Staff","Ernie Vargas"
"Sec 29 - Naperville West","220 Frontenac","South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 11:57 PM","SnowPlus Staff","Mito Sopko"
"Sec 02 - Alsip","11939 S. Central","South Side      ","1/16 of lot ",no,"01/28/2016 11:56 PM","SnowPlus Staff",
"Sec 17 - Lombard / Oakbrook","Oak brook International","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 11:55 PM","SnowPlus Staff","Jim Rose"
"Sec 26 - Itasca","1376 Industrial","North  Side       ,South Side      ,East Side       ","whole lot",no,"01/28/2016 11:54 PM","SnowPlus Staff","Don Down"
"Sec 07 - Bensenville","950-990 Supreme",,"1/4 of lot",no,"01/28/2016 11:51 PM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","950-990 Supreme",,"1/4 of lot",no,"01/28/2016 11:50 PM","SnowPlus Staff","Ernie Vargas"
"Sec 20 - Elk Grove Village North","1723 Marshall","North  Side       ","1/16 of lot ",no,"01/28/2016 11:46 PM","SnowPlus Staff","Ernie Vargas"
"Sec 02 - Alsip","5100 W 123rd - Roosevelt Paper","North  Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 11:46 PM","SnowPlus Staff",
"Sec 07 - Bensenville","659-699 Supreme",,"1/16 of lot ",no,"01/28/2016 11:42 PM","SnowPlus Staff","Ernie Vargas"
"Sec 08 - Berkeley","250 Manhiem","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 11:42 PM","SnowPlus Staff","Jim Jungles"
"Sec 17 - Lombard / Oakbrook","Eisenhower Buildings","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 11:42 PM","SnowPlus Staff","Greg Skonie"
"Sec 03 - Aurora","3505 Thayer","South Side      ","1/16 of lot ",no,"01/28/2016 11:42 PM","SnowPlus Staff","Mito Sopko"
"Sec 03 - Aurora","4222 Meridian Pkwy","North  Side       ,South Side      ,West Side       ","1/16 of lot ",no,"01/28/2016 11:41 PM","SnowPlus Staff","Mito Sopko"
"Sec 03 - Aurora","4151 McCoy","North  Side       ,South Side      ","1/16 of lot ",no,"01/28/2016 11:41 PM","SnowPlus Staff","Mito Sopko"
"Sec 03 - Aurora","4394 Liberty","South Side      ","1/16 of lot ",no,"01/28/2016 11:41 PM","SnowPlus Staff","Mito Sopko"
"Sec 26 - Itasca","225 Windsor","South Side      ,West Side       ","1/8 of lot",no,"01/28/2016 11:39 PM","SnowPlus Staff","Don Down"
"Sec 20 - Elk Grove Village North","1800 Landmeier","South Side      ","1/16 of lot ",no,"01/28/2016 11:35 PM","SnowPlus Staff","Ernie Vargas"
"Sec 03 - Aurora","4151 McCoy","North  Side       ,South Side      ","1/16 of lot ",no,"01/28/2016 11:35 PM","SnowPlus Staff","Mito Sopko"
"Sec 07 - Bensenville","1141 Ellis","North  Side       ,South Side      ","1/16 of lot ",no,"01/28/2016 11:33 PM","SnowPlus Staff","Ernie Vargas"
"Sec 26 - Itasca",Canon,"North  Side       ,South Side      ,East Side       ","1/8 of lot",no,"01/28/2016 11:31 PM","SnowPlus Staff","Don Down"
"Sec 10 - Bolingbrook West","901 Carlow","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 11:31 PM","SnowPlus Staff","Donato Garcia"
"Sec 10 - Bolingbrook West","1601 Remington","North  Side       ,South Side      ,East Side       ","1/16 of lot ",no,"01/28/2016 11:30 PM","SnowPlus Staff","Donato Garcia"
"Sec 10 - Bolingbrook West","1290 Remington","North  Side       ,South Side      ,East Side       ","1/16 of lot ",no,"01/28/2016 11:30 PM","SnowPlus Staff","Donato Garcia"
"Sec 20 - Elk Grove Village North","Regent O'Hare Building B","West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 11:30 PM","SnowPlus Staff","Ernie Vargas"
"Sec 10 - Bolingbrook West","1101-1109 Windham  2 bldgs","North  Side       ,South Side      ","1/16 of lot ",no,"01/28/2016 11:30 PM","SnowPlus Staff","Donato Garcia"
"Sec 13 - Romeoville","Buffalo Wild Wings and Retail","North  Side       ","1/16 of lot ",no,"01/28/2016 11:21 PM","SnowPlus Staff","Mike Jungles"
"Sec 13 - Romeoville","160 South Creek","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 11:20 PM","SnowPlus Staff","Mike Jungles"
"Sec 03 - Aurora","858 Meridian","North  Side       ,South Side      ,West Side       ,East Side       ","whole lot",no,"01/28/2016 11:20 PM","SnowPlus Staff","Mito Sopko"
"Sec 03 - Aurora","4394 Liberty","South Side      ","1/16 of lot ",no,"01/28/2016 11:13 PM","SnowPlus Staff","Mito Sopko"
"Sec 12 - Bolingbrook Southwest","1001 Crossroads","North  Side       ,South Side      ,West Side       ","1/16 of lot ",no,"01/28/2016 10:58 PM","SnowPlus Staff","Adam Halm"
"Sec 12 - Bolingbrook Southwest","860 Crossroads","North  Side       ","1/16 of lot ",no,"01/28/2016 10:50 PM","SnowPlus Staff","Adam Halm"
"Sec 12 - Bolingbrook Southwest","775 Prologis","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 10:49 PM","SnowPlus Staff","Adam Halm"
"Sec 12 - Bolingbrook Southwest","760 Crossroads","North  Side       ,South Side      ,East Side       ","1/16 of lot ",no,"01/28/2016 10:48 PM","SnowPlus Staff","Adam Halm"
"Sec 09 - Bolingbrook North","1055 Remington","North  Side       ,West Side       ","1/16 of lot ",no,"01/28/2016 10:46 PM","SnowPlus Staff","Bill Gabris"
"Sec 09 - Bolingbrook North","850 Veterans","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 10:46 PM","SnowPlus Staff","Bill Gabris"
"Sec 09 - Bolingbrook North","605 Territorial","North  Side       ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 10:46 PM","SnowPlus Staff","Bill Gabris"
"Sec 09 - Bolingbrook North","595 Territorial","North  Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 10:45 PM","SnowPlus Staff","Bill Gabris"
"Sec 09 - Bolingbrook North","750 Veterans","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 10:45 PM","SnowPlus Staff","Tom Ustaszewski"
"Sec 09 - Bolingbrook North","500 & 510 Territorial & 1 Northpointe Ct","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 10:45 PM","SnowPlus Staff","Tom Ustaszewski"
"Sec 09 - Bolingbrook North","606-612 Territorial","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 10:45 PM","SnowPlus Staff","Tom Ustaszewski"
"Sec 09 - Bolingbrook North","850 Remington","North  Side       ,South Side      ","1/16 of lot ",no,"01/28/2016 10:45 PM","SnowPlus Staff","Tom Ustaszewski"
"Sec 09 - Bolingbrook North","581 Territorial","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 10:44 PM","SnowPlus Staff","Tom Ustaszewski"
"Sec 09 - Bolingbrook North","340 Remington","North  Side       ,South Side      ","1/16 of lot ",no,"01/28/2016 10:44 PM","SnowPlus Staff","Tom Ustaszewski"
"Sec 11 - Bolingbrook South","505 Crossroads","North  Side       ","1/16 of lot ",no,"01/28/2016 10:28 PM","SnowPlus Staff","Tom Ustaszewski"
"Sec 11 - Bolingbrook South","400 Crossroads","West Side       ","1/16 of lot ",no,"01/28/2016 10:25 PM","SnowPlus Staff","Tom Ustaszewski"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing","North  Side       ","1/16 of lot ",no,"01/28/2016 02:02 PM","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing","North  Side       ","1/16 of lot ",no,"01/28/2016 02:02 PM","SnowPlus Staff","Wally Sternberg"
"Sec 02 - Alsip","11740  South Austin - Toyota","North  Side       ","1/16 of lot ",no,"01/28/2016 02:00 PM","SnowPlus Staff",
"Sec 32 - Schaumburg","1000 & 1100 Warrenville","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"01/28/2016 03:44 AM","SnowPlus Staff","Scott Erickson"
"Sec 32 - Schaumburg","Univ. Tech Institute","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"01/28/2016 03:32 AM","SnowPlus Staff","Jose Legaspi"
"Sec 32 - Schaumburg","535 Diehl","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"01/28/2016 03:31 AM","SnowPlus Staff","Scott Erickson"
"Sec 05 - Bedford Park","2401 Kaneville Rd","South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 03:31 AM","SnowPlus Staff",
"Sec 05 - Bedford Park","West Aurora Plaza","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"01/28/2016 03:31 AM","SnowPlus Staff",
"Sec 30 - Lisle / Warrenville","Canterra Commons","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"01/28/2016 03:31 AM","SnowPlus Staff","Scott Erickson"
"Sec 31 - Roselle",Kellogg,"North  Side       ,South Side      ,West Side       ","1/4 of lot",no,"01/28/2016 03:31 AM","SnowPlus Staff","Scott Erickson"
"Sec 31 - Roselle","International Paper","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"01/28/2016 03:31 AM","SnowPlus Staff","Scott Erickson"
"Sec 30 - Lisle / Warrenville","2012 Corporate","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"01/28/2016 03:31 AM","SnowPlus Staff","Scott Erickson"
"Sec 03 - Aurora","4151 McCoy","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"01/28/2016 03:31 AM","SnowPlus Staff","Mito Sopko"
"Sec 32 - Schaumburg","535 Diehl","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"01/28/2016 03:14 AM","SnowPlus Staff","Scott Erickson"
"Sec 07 - Bensenville",EMD,"North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"01/28/2016 03:00 AM","SnowPlus Staff","Richard Groome"
"Sec 31 - Roselle",Kellogg,"North  Side       ,South Side      ,West Side       ","1/4 of lot",no,"01/28/2016 02:46 AM","SnowPlus Staff","Scott Erickson"
"Sec 31 - Roselle","International Paper","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"01/28/2016 02:45 AM","SnowPlus Staff","Scott Erickson"
"Sec 22 - Elgin","951 Fargo","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 02:36 AM","SnowPlus Staff","Ernie Vargas"
"Sec 30 - Lisle / Warrenville","2012 Corporate","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"01/28/2016 02:24 AM","SnowPlus Staff","Scott Erickson"
"Sec 07 - Bensenville","311 Richert","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 02:24 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","311 Richert","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 02:23 AM","SnowPlus Staff","Ernie Vargas"
"Sec 30 - Lisle / Warrenville","Canterra Commons","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"01/28/2016 02:15 AM","SnowPlus Staff","Scott Erickson"
"Sec 20 - Elk Grove Village North","1000 Milwaukee","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"01/28/2016 02:10 AM","SnowPlus Staff","Bobby Gomez"
"Sec 20 - Elk Grove Village North","1471 Business Center","North  Side       ","1/16 of lot ",no,"01/28/2016 02:10 AM","SnowPlus Staff","Bobby Gomez"
"Sec 07 - Bensenville","855 Woodale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 02:00 AM","SnowPlus Staff","Ernie Vargas"
"Sec 21 - Bartlett","900 Thorndale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 01:45 AM","SnowPlus Staff","Ernie Vargas"
"Sec 21 - Bartlett","2700 Carl","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 01:41 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2800 Carl","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 01:37 AM","SnowPlus Staff","Ernie Vargas"
"Sec 05 - Bedford Park","2401 Kaneville Rd","South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 01:37 AM","SnowPlus Staff",
"Sec 21 - Bartlett","2800 Carl","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 01:33 AM","SnowPlus Staff","Ernie Vargas"
"Sec 05 - Bedford Park","Art Van - Batavia","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"01/28/2016 01:29 AM","SnowPlus Staff",
"Sec 19 - Elk Grove Village","1290 Thorndale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 01:24 AM","SnowPlus Staff","Ernie Vargas"
"Sec 21 - Bartlett","1290 Thorndale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 01:24 AM","SnowPlus Staff","Ernie Vargas"
"Sec 21 - Bartlett","1100 Thorndale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 01:21 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2901 Lively","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 01:19 AM","SnowPlus Staff","Ernie Vargas"
"Sec 21 - Bartlett","2800 - 2900 Lively","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 01:14 AM","SnowPlus Staff","Ernie Vargas"
"Sec 05 - Bedford Park","West Aurora Plaza","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"01/28/2016 01:13 AM","SnowPlus Staff",
"Sec 19 - Elk Grove Village","2901 Lively","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 01:11 AM","SnowPlus Staff","Ernie Vargas"
"Sec 21 - Bartlett","1201 Kirk","North  Side       ","1/16 of lot ",no,"01/28/2016 01:05 AM","SnowPlus Staff","Ernie Vargas"
"Sec 34 - Woodridge Retail","Darien Towne Center","North  Side       ,South Side      ,East Side       ","1/8 of lot",no,"01/28/2016 01:02 AM","SnowPlus Staff","Dan Castro"
"Sec 17 - Lombard / Oakbrook","The Crossings","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 12:56 AM","SnowPlus Staff","Jim Rose"
"Sec 21 - Bartlett","2781 Katherine","North  Side       ","1/16 of lot ",no,"01/28/2016 12:56 AM","SnowPlus Staff","Ernie Vargas"
"Sec 21 - Bartlett","2781 Katherine","North  Side       ","1/16 of lot ",no,"01/28/2016 12:56 AM","SnowPlus Staff","Ernie Vargas"
"Sec 21 - Bartlett","2781 Katherine","North  Side       ","1/16 of lot ",no,"01/28/2016 12:55 AM","SnowPlus Staff","Ernie Vargas"
"Sec 21 - Bartlett","1380-1410 Kirk","North  Side       ","1/16 of lot ",no,"01/28/2016 12:47 AM","SnowPlus Staff","Ernie Vargas"
"Sec 17 - Lombard / Oakbrook","601 Oakmont","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"01/28/2016 12:42 AM","SnowPlus Staff","Greg Skonie"
"Sec 34 - Woodridge Retail","Centerpointe Retail Centre","East Side       ","1/16 of lot ",no,"01/28/2016 12:41 AM","SnowPlus Staff","Dan Castro"
"Sec 21 - Bartlett","1400 Mark","North  Side       ,West Side       ","1/16 of lot ",no,"01/28/2016 12:41 AM","SnowPlus Staff","Ernie Vargas"
"Sec 35 - Woodridge Industrial","10220 Werch","North  Side       ","1/16 of lot ",no,"01/28/2016 12:37 AM","SnowPlus Staff","Doug Hendon"
"Sec 03 - Aurora","3505 Thayer","North  Side       ,South Side      ,East Side       ","1/4 of lot",no,"01/28/2016 12:37 AM","SnowPlus Staff","Mito Sopko"
"Sec 09 - Bolingbrook North","Melrose Park Center","South Side      ","1/16 of lot ",no,"01/28/2016 12:36 AM","SnowPlus Staff","Jim Jungles"
