Location,Property,"Area Serviced (choose all that apply)","Acres Salted","Blade Used","Submission Date","Submitted By","Assigned To"
"Sec 03 - Aurora","4151 McCoy","North  Side       ,West Side       ","1/16 of lot ",no,"02/02/2016 01:46 AM","SnowPlus Staff","Mito Sopko"
"Sec 19 - Elk Grove Village","1301-1401 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:46 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1301-1401 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:46 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2781 Katherine","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:45 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1380-1410 Kirk","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:45 AM","SnowPlus Staff","Ernie Vargas"
"Sec 03 - Aurora","3901 Liberty","North  Side       ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:45 AM","SnowPlus Staff","Mito Sopko"
"Sec 28 - Naperville East","2012 Corporate","South Side      ,West Side       ","1/8 of lot",no,"02/02/2016 01:45 AM","SnowPlus Staff","Scott Erickson"
"Sec 28 - Naperville East","Canterra Commons","North  Side       ,South Side      ,West Side       ","1/8 of lot",no,"02/02/2016 01:45 AM","SnowPlus Staff","Scott Erickson"
"Sec 19 - Elk Grove Village","1380-1410 Kirk","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:45 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1380-1410 Kirk","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:45 AM","SnowPlus Staff","Ernie Vargas"
"Sec 25 - Glendale Heights","139 Army Trail","South Side      ","1/2 of lot",no,"02/02/2016 01:45 AM","SnowPlus Staff","Paul Steinhauer"
"Sec 19 - Elk Grove Village","1100 Thorndale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:45 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1100 Thorndale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:45 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1100 Thorndale","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:44 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","971-991 Supreme","South Side      ,West Side       ","1/16 of lot ",no,"02/02/2016 01:44 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2700 Carl","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:44 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2800 Carl","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:43 AM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2800 Carl","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/02/2016 01:43 AM","SnowPlus Staff","Ernie Vargas"
"Sec 35 - Woodridge Industrial",Xcell,"West Side       ","1/2 of lot",no,"02/02/2016 01:43 AM","SnowPlus Staff","Doug Hendon"
